"SEQN","self_eval","teacher_eval","extracurricular","district","SRP_1","SRP_2","SRP_3","SRP_4","SRP_5","SRP_6","SRP_7","SRP_8","SRP_9","SRP_10","SRP_11","SRP_12","SRP_13","SRP_14","SRP_15","SRP_16","SRP_17","SRP_18","SRP_19","SRP_20","SRP_21","SRP_22","SRP_23","SRP_24","SRP_25","SRP_26","SRP_27","SRP_28","SRP_29","SRP_30","SRP_31","SRP_32","SRP_33","SRP_34","SRP_35","SRP_36","SRP_37","SRP_38","SRP_39","SRP_40","SRP_41","SRP_42","SRP_43","SRP_44","SRP_45","SRP_46","SRP_47","SRP_48","SRP_49","SRP_50","y"
969167,4,5,9,3,-0.181,-0.379,-0.164,0.08,0.378,1.581,0.409,0.296,0.437,1.245,1.14,-0.568,0.116,-0.279,-0.772,-0.455,0.063,-1.76,0.113,-1.745,-0.006,-0.719,-0.624,-0.766,-0.859,0.956,-0.464,0.051,0.991,0.168,0.096,-1.057,0.766,1.373,0.504,-0.403,0.707,-2.546,-0.649,0.079,2.07,-1.156,-0.73,-0.508,-0.497,0.224,0.412,-0.517,0.099,0.114,-1.315
188942,4,3,5,4,-0.126,1.603,1.021,0.489,-1.404,-0.955,1.457,1.262,-1.509,0.828,-0.808,1.526,-0.15,0.519,1.351,1.145,-0.084,1.176,-0.635,0.311,-0.543,0.404,-1.317,0.598,1.238,1.278,-0.134,2.36,-0.565,0.343,-1.323,0.364,0.251,-1.472,0.039,0.319,0.492,0.197,-0.729,-1.371,1.478,-0.318,1.24,-1.993,2.021,-1.078,-0.277,0.802,0.253,-0.72,1.997
134058,1,2,8,5,0.724,-0.702,2.249,0.91,0.33,0.411,-0.838,0.848,0.157,1.03,0.765,0.952,0.277,0.615,-0.03,-0.535,-1.527,1.474,1.206,-0.701,1.492,0.159,-1.06,0.279,1.856,0.215,-0.143,-0.808,1.291,0.513,1.16,1.68,0.684,-0.657,0.946,0.256,-1.454,-0.593,0.042,-0.034,0.119,0.449,1.98,-0.401,-0.544,-0.944,1.592,0.875,-0.734,-2.336,3.709
124022,3,3,10,6,0.706,-0.302,1.023,-0.895,0.625,1.283,0.403,-2.198,-0.312,-1.058,-0.78,1.064,0.601,0.802,0.095,-0.916,2.272,-1.054,-0.392,-0.318,0.607,-1.368,0.789,-0.102,-1.155,1.791,0.777,-1.037,1.119,-0.279,-0.259,0.02,-1.816,1.578,-0.496,-0.426,0.04,0.044,0.453,0.905,1.249,2.025,-2.289,-0.407,0.025,-0.515,0.408,1.38,-1.075,-2.451,1.155
685285,5,5,1,5,-0.35,-1.001,0.931,0.192,0.491,0.292,1.018,0.47,-0.024,-0.055,0.778,0.202,-0.435,0.695,-0.363,-1.378,2.223,-0.209,-0.34,1.876,1.577,-1.879,-0.247,-2.341,-0.577,-0.191,-0.21,-1.299,-0.443,-0.178,-0.957,-0.263,-1.163,-2.787,-0.134,-0.162,-1.574,0.52,1,0.222,0.341,-0.118,-0.288,0.457,-0.566,0.822,-0.317,0.661,2.096,0.004,-1.96
226318,1,1,1,4,-0.536,0.014,0.189,-0.381,1.74,-0.308,-0.003,0.679,0.709,0.133,-0.141,1.015,0.349,0.998,-0.462,2.106,1.639,-0.924,-0.31,-0.726,1.28,0.309,0.185,-0.771,1.766,1.169,0.419,1.697,0.163,-0.395,-2.524,-0.929,-1.759,-2.344,-2.616,-0.569,0.349,-0.888,0.22,-1.115,1.271,-1.253,1.095,-0.222,-1.299,0.498,1.42,-0.224,0.577,0,-0.098
365209,5,4,4,7,0.055,-0.915,0.472,-0.075,-2.176,-2.994,-1.803,-1.214,-0.559,0.38,-1.293,-2.065,0.3,0.191,-0.771,0.228,-0.348,1.619,-0.186,-1.117,0.846,0.879,0.881,0.779,-1.383,0.356,-1.207,-0.001,0.017,-0.01,-0.746,-0.678,-0.73,1.201,-1.41,-1.721,0.665,-0.431,-0.329,1.563,-2.596,-0.942,-0.052,0.639,1.029,1.381,0.254,0.565,0.568,1.283,-2.471
648795,1,1,4,4,1.464,0.843,0.44,-0.598,-1.579,-1.802,-1.567,-0.422,-0.348,0.252,0.156,-0.6,0.825,0.177,1.037,-0.372,0.196,2.158,-0.491,0,0.162,-0.65,-0.58,0.49,-0.383,-0.684,-0.46,0.563,0.329,-0.027,0.151,-0.991,0.625,0.764,-1.084,-0.854,-0.26,0.475,-0.813,-0.769,-0.346,-1.159,0.476,1.036,-1.043,0.102,-1.592,0.443,1.643,-0.841,-2.221
985797,2,3,3,6,0.958,0.23,-0.944,1.371,-0.775,0.869,-0.74,-0.119,-0.687,-1.726,0.264,1.042,0.417,0.349,-0.691,1.685,-0.796,1.22,1.639,0.987,-1.594,-0.044,-0.044,1.32,-0.649,0.334,-0.023,-0.008,0.228,0.122,0.845,-0.511,1.965,1.228,0.01,-0.985,-0.027,0.037,0.493,-0.058,-1.265,1.638,-0.656,-0.944,-1.974,-1.444,-1.159,-0.137,1.455,-0.179,1.448
193627,1,1,9,5,-1.37,0.69,-0.058,1.345,-1.134,0.129,1.862,-2.845,0.849,-1.553,-1.567,-0.167,1.55,-0.48,-1.954,2.024,0.921,-0.622,0.142,2.088,0.141,1.578,-0.276,-0.42,-0.103,0.592,-1.705,0.888,0.068,-0.388,0.988,-0.597,1.251,2.088,-0.033,-0.616,-0.064,-0.442,-1.238,-0.339,-0.435,1.387,-2.204,1.387,1.31,-0.146,0.756,0.315,0.255,0.79,2.774
569692,1,2,6,7,-0.643,0.632,0.177,0.536,-1.589,-0.462,0.778,-1.219,0.454,0.479,1.664,-0.083,0.319,1.777,-0.54,0.744,-0.549,2.916,-1.781,-1.92,0.424,-0.888,0.717,0.07,0.434,0.68,0.752,1.462,-0.181,-0.613,0.368,-0.096,-1.193,-1.585,1.764,-0.615,-0.643,-0.379,0.235,-0.727,-1.088,0.86,-0.667,0.366,2.152,0.222,1.117,-0.676,-0.282,-1.245,1.96
589449,3,3,7,7,1.521,0.74,1.103,1.314,-0.304,1.568,-0.868,2.246,-0.765,-0.175,0.892,-0.518,0.372,0.563,-0.636,0.031,-0.278,-0.084,1.272,0.553,-1.729,0.367,-0.87,-0.519,1.052,2.385,-0.017,-0.268,1.294,-1.653,0.271,1.704,-1.1,-0.103,0.18,1.39,1.615,0.203,1.702,0.044,-1.355,-0.678,2.097,-0.826,-0.579,0.545,-0.527,-0.166,-0.905,-1.062,2.196
832867,2,1,2,4,-0.073,-0.129,-0.761,-1.721,-2.758,-0.179,1.231,-1.211,-0.075,0.195,-0.008,-0.01,1.077,-1.277,0.914,-0.399,-1.729,-0.671,1.299,-0.606,0.299,0.666,-2.182,-2.108,-0.102,-0.432,1.891,-1.991,1.609,-0.06,-1.752,0.9,1.828,-2.012,-1.748,-1.053,1.199,-1.429,-0.672,-0.408,-1.93,0.88,0.089,-0.003,-0.05,1.406,-1.195,1.501,1.067,-0.467,-0.736
497690,3,2,2,7,-0.297,-0.304,0.653,0.058,0.631,-1.433,0.296,0.364,0.622,-0.285,1.929,1.495,-0.357,-0.628,1.138,-0.433,0.282,-0.568,-0.225,-0.327,1.097,-1.586,-1.24,0.344,0.919,0.011,0.288,1.716,0.271,1.366,-0.879,0.645,-1.114,0.231,-0.262,-0.36,1.011,-0.014,-0.639,1.998,2.104,-0.949,1.003,0.765,0.349,0.407,1.172,1.515,-1.422,-0.136,1.071
402858,5,5,7,1,-1.753,0.572,0.563,1.812,-0.011,0.635,0.273,-0.673,-0.528,-1.13,0.58,0.255,-0.775,-1.105,-0.862,-0.422,-2.359,0.026,0.905,0.033,1.125,-0.332,0.146,-0.633,-1.728,0.319,0.518,0.373,-1.363,-0.616,-1.048,-0.769,-0.228,-0.687,0.761,-0.316,-0.714,-0.708,0.782,-0.737,0.11,0.279,-0.992,1.306,-0.45,0.592,-1.837,-0.808,1.439,-0.882,-1.554
583422,4,2,8,5,0.979,-1.058,0.502,-0.454,0.017,-0.946,0.816,1.042,0.12,0.342,-1.244,1.486,0.109,1.01,1.795,-1.219,-1.128,0.792,0.909,-1.21,-0.115,0.704,0.362,-0.355,-1.024,1.841,-2.446,-1.217,0.709,1.388,0.719,0.732,-0.394,0.114,1.817,1.439,1.203,-0.376,-2.137,-1.522,2.026,-0.423,-0.18,0.063,-1.15,-0.137,-0.42,0.763,0.017,-1.234,-0.13
183204,2,3,9,6,0.899,0.172,-0.315,-2.138,0.733,0.049,-0.183,-0.253,0.063,0.77,0.319,-1.407,0.399,0.801,0.464,0.937,-1.828,-0.11,0.656,0.076,0.16,0.61,0.944,-0.901,-0.694,-0.592,0.739,-0.06,0.707,-0.173,-0.833,1.699,1.962,-0.012,-1.275,1.584,-0.08,0.477,-1.471,1.732,1.689,0.17,-0.597,-2.209,-0.381,0.735,0.769,-0.615,1.637,0.555,2.226
